Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Title
3,0,22.0,1,0,0,7.25,0,Mr
1,1,38.0,1,0,1,71.2833,1,Mrs
3,1,26.0,0,0,2,7.925,0,Miss
1,1,35.0,1,0,3,53.1,0,Mrs
3,0,35.0,0,0,4,8.05,0,Mr
3,0,28.834542532422255,0,0,5,8.4583,2,Mr
1,0,54.0,0,0,6,51.8625,0,Mr
3,0,2.0,3,1,7,21.075,0,Master
3,1,27.0,0,2,8,11.1333,0,Mrs
2,1,14.0,1,0,9,30.0708,1,Mrs
3,1,4.0,1,1,10,16.7,0,Miss
1,1,58.0,0,0,11,26.55,0,Miss
3,0,20.0,0,0,12,8.05,0,Mr
3,0,39.0,1,5,13,31.275,0,Mr
3,1,14.0,0,0,14,7.8542,0,Miss
2,1,55.0,0,0,15,16.0,0,Mrs
3,0,2.0,4,1,16,29.125,2,Master
2,0,31.20304770216906,0,0,17,13.0,0,Mr
3,1,31.0,1,0,18,18.0,0,Mrs
3,1,30.46480527199897,0,0,19,7.225,1,Mrs
2,0,35.0,0,0,20,26.0,0,Mr
2,0,34.0,0,0,21,13.0,0,Mr
3,1,15.0,0,0,22,8.0292,2,Miss
1,0,28.0,0,0,23,35.5,0,Mr
3,1,8.0,3,1,7,21.075,0,Miss
3,1,38.0,1,5,24,31.3875,0,Mrs
3,0,28.834542532422255,0,0,25,7.225,1,Mr
1,0,19.0,3,2,26,263.0,0,Mr
3,1,23.493128651101237,0,0,27,7.8792,2,Miss
3,0,28.834542532422255,0,0,28,7.8958,0,Mr
1,0,40.0,0,0,29,27.7208,1,Noble
1,1,37.011215842951565,1,0,30,146.5208,1,Mrs
3,1,23.493128651101237,0,0,31,7.75,2,Miss
2,0,66.0,0,0,32,10.5,0,Mr
1,0,28.0,1,0,33,82.1708,1,Mr
1,0,42.0,1,0,34,52.0,0,Mr
3,0,28.834542532422255,0,0,35,7.2292,1,Mr
3,0,21.0,0,0,36,8.05,0,Mr
3,1,18.0,2,0,37,18.0,0,Miss
3,1,14.0,1,0,38,11.2417,1,Miss
3,1,40.0,1,0,39,9.475,0,Mrs
2,1,27.0,1,0,40,21.0,0,Mrs
3,0,28.834542532422255,0,0,41,7.8958,1,Mr
2,1,3.0,1,2,42,41.5792,1,Miss
3,1,19.0,0,0,43,7.8792,2,Miss
3,0,28.834542532422255,0,0,44,8.05,0,Mr
3,0,28.834542532422255,1,0,45,15.5,2,Mr
3,1,23.493128651101237,0,0,46,7.75,2,Miss
3,0,28.834542532422255,2,0,47,21.6792,1,Mr
3,1,18.0,1,0,48,17.8,0,Mrs
3,0,7.0,4,1,49,39.6875,0,Master
3,0,21.0,0,0,50,7.8,0,Mr
1,1,49.0,1,0,51,76.7292,1,Mrs
2,1,29.0,1,0,52,26.0,0,Mrs
1,0,65.0,0,1,53,61.9792,1,Mr
1,0,35.38095310337485,0,0,54,35.5,0,Mr
2,1,21.0,0,0,55,10.5,0,Miss
3,0,28.5,0,0,56,7.2292,1,Mr
2,1,5.0,1,2,57,27.75,0,Miss
3,0,11.0,5,2,58,46.9,0,Master
3,0,22.0,0,0,59,7.2292,1,Mr
1,1,38.0,0,0,60,80.0,0,Miss
1,0,45.0,1,0,61,83.475,0,Mr
3,0,4.0,3,2,62,27.9,0,Master
1,0,35.38095310337485,0,0,63,27.7208,1,Mr
3,0,4.574166666666667,1,1,64,15.2458,1,Master
2,1,29.0,0,0,65,10.5,0,Mrs
3,0,19.0,0,0,66,8.1583,0,Mr
3,1,17.0,4,2,67,7.925,0,Miss
3,0,26.0,2,0,68,8.6625,0,Mr
2,0,32.0,0,0,69,10.5,0,Mr
3,1,16.0,5,2,58,46.9,0,Miss
2,0,21.0,0,0,70,73.5,0,Mr
3,0,26.0,1,0,71,14.4542,1,Mr
3,0,32.0,0,0,72,56.4958,0,Mr
3,0,25.0,0,0,73,7.65,0,Mr
3,0,28.834542532422255,0,0,74,7.8958,0,Mr
3,0,28.834542532422255,0,0,75,8.05,0,Mr
2,0,0.83,0,2,76,29.0,0,Master
3,1,30.0,0,0,77,12.475,0,Miss
3,0,22.0,0,0,78,9.0,0,Mr
3,0,29.0,0,0,79,9.5,0,Mr
3,1,23.493128651101237,0,0,80,7.7875,2,Miss
1,0,28.0,0,0,81,47.1,0,Mr
2,1,17.0,0,0,82,10.5,0,Miss
3,1,33.0,3,0,83,15.85,0,Mrs
3,0,16.0,1,3,84,34.375,0,Mr
3,0,28.834542532422255,0,0,85,8.05,0,Mr
1,1,23.0,3,2,26,263.0,0,Miss
3,0,24.0,0,0,86,8.05,0,Mr
3,0,29.0,0,0,87,8.05,0,Mr
3,0,20.0,0,0,88,7.8542,0,Mr
1,0,46.0,1,0,89,61.175,0,Mr
3,0,26.0,1,2,90,20.575,0,Mr
3,0,59.0,0,0,91,7.25,0,Mr
3,0,28.834542532422255,0,0,92,8.05,0,Mr
1,0,71.0,0,0,93,34.6542,1,Mr
1,0,23.0,0,1,94,63.3583,1,Mr
2,1,34.0,0,1,95,23.0,0,Mrs
2,0,34.0,1,0,96,26.0,0,Mr
3,1,28.0,0,0,97,7.8958,0,Miss
3,0,28.834542532422255,0,0,98,7.8958,0,Mr
1,0,21.0,0,1,99,77.2875,0,Mr
3,0,33.0,0,0,100,8.6542,0,Mr
3,0,37.0,2,0,101,7.925,0,Mr
3,0,28.0,0,0,102,7.8958,0,Mr
3,1,21.0,0,0,103,7.65,0,Miss
3,0,28.834542532422255,0,0,104,7.775,0,Mr
3,0,38.0,0,0,105,7.8958,0,Mr
3,1,23.493128651101237,1,0,106,24.15,2,Miss
1,0,47.0,0,0,107,52.0,0,Mr
3,1,14.5,1,0,108,14.4542,1,Miss
3,0,22.0,0,0,109,8.05,0,Mr
3,1,20.0,1,0,110,9.825,0,Miss
3,1,17.0,0,0,111,14.4583,1,Miss
3,0,21.0,0,0,112,7.925,0,Mr
3,0,70.5,0,0,113,7.75,2,Mr
2,0,29.0,1,0,40,21.0,0,Mr
1,0,24.0,0,1,114,247.5208,1,Mr
3,1,2.0,4,2,13,31.275,0,Miss
2,0,21.0,2,0,70,73.5,0,Mr
3,0,28.834542532422255,0,0,115,8.05,0,Mr
2,0,32.5,1,0,9,30.0708,1,Mr
2,1,32.5,0,0,116,13.0,0,Miss
1,0,54.0,0,1,99,77.2875,0,Mr
3,0,12.0,1,0,38,11.2417,1,Master
3,0,28.834542532422255,0,0,117,7.75,2,Mr
3,0,24.0,0,0,118,7.1417,0,Mr
3,1,23.493128651101237,1,1,119,22.3583,1,Miss
3,0,45.0,0,0,120,6.975,0,Mr
3,0,33.0,0,0,121,7.8958,1,Mr
3,0,20.0,0,0,122,7.05,0,Mr
3,1,47.0,1,0,123,14.5,0,Mrs
2,1,29.0,1,0,124,26.0,0,Mrs
2,0,25.0,0,0,125,13.0,0,Mr
2,0,23.0,0,0,126,15.0458,1,Mr
1,1,19.0,0,2,127,26.2833,0,Miss
1,0,37.0,1,0,3,53.1,0,Mr
3,0,16.0,0,0,128,9.2167,0,Mr
1,0,24.0,0,0,129,79.2,1,Mr
3,1,30.46480527199897,0,2,130,15.2458,1,Mrs
3,1,22.0,0,0,131,7.75,0,Miss
3,1,24.0,1,0,132,15.85,0,Mrs
3,0,19.0,0,0,133,6.75,2,Mr
2,0,18.0,0,0,134,11.5,0,Mr
2,0,19.0,1,1,135,36.75,0,Mr
3,0,27.0,0,0,136,7.7958,0,Mr
3,1,9.0,2,2,84,34.375,0,Miss
2,0,36.5,0,2,137,26.0,0,Mr
2,0,42.0,0,0,138,13.0,0,Mr
2,0,51.0,0,0,139,12.525,0,Mr
1,1,22.0,1,0,140,66.6,0,Mrs
3,0,55.5,0,0,141,8.05,0,Mr
3,0,40.5,0,2,142,14.5,0,Mr
3,0,28.834542532422255,0,0,143,7.3125,0,Mr
1,0,51.0,0,1,144,61.3792,1,Mr
3,1,16.0,0,0,145,7.7333,2,Miss
3,0,30.0,0,0,146,8.05,0,Mr
3,0,28.834542532422255,0,0,147,8.6625,0,Mr
3,0,4.574166666666667,8,2,148,69.55,0,Master
3,0,44.0,0,1,149,16.1,0,Mr
2,1,40.0,0,0,150,15.75,0,Mrs
3,0,26.0,0,0,151,7.775,0,Mr
3,0,17.0,0,0,152,8.6625,0,Mr
3,0,1.0,4,1,49,39.6875,0,Master
3,0,9.0,0,2,153,20.525,0,Master
1,1,37.011215842951565,0,1,154,55.0,0,Mrs
3,1,45.0,1,4,62,27.9,0,Mrs
1,0,35.38095310337485,0,0,155,25.925,0,Mr
3,0,28.0,0,0,72,56.4958,0,Mr
1,0,61.0,0,0,156,33.5,0,Mr
3,0,4.0,4,1,16,29.125,2,Master
3,1,1.0,1,1,8,11.1333,0,Miss
3,0,21.0,0,0,157,7.925,0,Mr
1,0,56.0,0,0,158,30.6958,1,Mr
3,0,18.0,1,1,159,7.8542,0,Mr
3,0,4.574166666666667,3,1,160,25.4667,0,Master
1,1,50.0,0,0,161,28.7125,1,Miss
2,0,30.0,0,0,162,13.0,0,Mr
3,0,36.0,0,0,163,0.0,0,Mr
3,1,23.493128651101237,8,2,148,69.55,0,Miss
2,0,31.20304770216906,0,0,164,15.05,1,Mr
3,0,9.0,4,2,24,31.3875,0,Master
2,0,1.0,2,1,165,39.0,0,Master
3,1,4.0,0,2,166,22.025,0,Miss
1,0,35.38095310337485,0,0,167,50.0,0,Mr
3,1,30.46480527199897,1,0,168,15.5,2,Mrs
1,0,45.0,0,0,169,26.55,0,Mr
3,0,40.0,1,1,170,15.5,2,Mr
3,0,36.0,0,0,171,7.8958,0,Mr
2,1,32.0,0,0,172,13.0,0,Mrs
2,0,19.0,0,0,173,13.0,0,Mr
3,1,19.0,1,0,174,7.8542,0,Miss
2,0,3.0,1,1,137,26.0,0,Master
1,1,44.0,0,0,175,27.7208,1,Mrs
1,1,58.0,0,0,30,146.5208,1,Miss
3,0,28.834542532422255,0,0,176,7.75,2,Mr
3,0,42.0,0,1,177,8.4042,0,Mr
3,1,23.493128651101237,0,0,178,7.75,2,Miss
2,1,24.0,0,0,179,13.0,0,Miss
3,0,28.0,0,0,180,9.5,0,Mr
3,0,28.834542532422255,8,2,148,69.55,0,Mr
3,0,34.0,0,0,181,6.4958,0,Mr
3,0,45.5,0,0,182,7.225,1,Mr
3,0,18.0,0,0,183,8.05,0,Mr
3,1,2.0,0,1,184,10.4625,0,Miss
3,0,32.0,1,0,83,15.85,0,Mr
3,0,26.0,0,0,185,18.7875,1,Mr
3,1,16.0,0,0,186,7.75,2,Miss
1,0,40.0,0,0,187,31.0,1,Mr
3,0,24.0,0,0,188,7.05,0,Mr
2,1,35.0,0,0,189,21.0,0,Miss
3,0,22.0,0,0,190,7.25,0,Mr
2,0,30.0,0,0,191,13.0,0,Mr
3,0,28.834542532422255,1,0,192,7.75,2,Mr
1,1,31.0,1,0,193,113.275,1,Miss
3,1,27.0,0,0,194,7.925,0,Miss
2,0,42.0,1,0,195,27.0,0,Mr
1,1,32.0,0,0,196,76.2917,1,Miss
2,0,30.0,0,0,197,10.5,0,Mr
3,0,16.0,0,0,198,8.05,0,Mr
2,0,27.0,0,0,199,13.0,0,Mr
3,0,51.0,0,0,200,8.05,0,Mr
3,0,28.834542532422255,0,0,201,7.8958,0,Mr
1,0,38.0,1,0,202,90.0,0,Mr
3,0,22.0,0,0,203,9.35,0,Mr
2,0,19.0,0,0,204,10.5,0,Mr
3,0,20.5,0,0,205,7.25,0,Mr
2,0,18.0,0,0,206,13.0,0,Mr
3,1,23.493128651101237,3,1,160,25.4667,0,Miss
1,1,35.0,1,0,61,83.475,0,Mrs
3,0,29.0,0,0,207,7.775,0,Mr
2,0,59.0,0,0,208,13.5,0,Mr
3,1,5.0,4,2,24,31.3875,0,Miss
2,0,24.0,0,0,209,10.5,0,Mr
3,1,23.493128651101237,0,0,210,7.55,0,Miss
2,0,44.0,1,0,211,26.0,0,Mr
2,1,8.0,0,2,212,26.25,0,Miss
2,0,19.0,0,0,213,10.5,0,Mr
2,0,33.0,0,0,214,12.275,0,Mr
3,1,23.493128651101237,1,0,108,14.4542,1,Miss
3,1,23.493128651101237,1,0,215,15.5,2,Miss
2,0,29.0,0,0,216,10.5,0,Mr
3,0,22.0,0,0,217,7.125,0,Mr
3,0,30.0,0,0,218,7.225,1,Mr
1,0,44.0,2,0,219,90.0,2,Noble
3,1,25.0,0,0,220,7.775,0,Miss
2,1,24.0,0,2,221,14.5,0,Mrs
1,0,37.0,1,1,222,52.5542,0,Mr
2,0,54.0,1,0,223,26.0,0,Mr
3,0,28.834542532422255,0,0,224,7.25,0,Mr
3,1,29.0,1,1,184,10.4625,0,Mrs
1,0,62.0,0,0,225,26.55,0,Mr
3,0,30.0,1,0,226,16.1,0,Mr
3,1,41.0,0,2,227,20.2125,0,Mrs
3,1,29.0,0,2,228,15.2458,1,Mrs
1,1,37.011215842951565,0,0,229,79.2,1,Mrs
1,1,30.0,0,0,230,86.5,0,Miss
1,1,35.0,0,0,231,512.3292,1,Miss
2,1,50.0,0,1,232,26.0,0,Mrs
3,0,28.834542532422255,0,0,233,7.75,2,Mr
3,0,3.0,4,2,24,31.3875,0,Master
1,0,52.0,1,1,234,79.65,0,Mr
1,0,40.0,0,0,235,0.0,0,Mr
3,1,23.493128651101237,0,0,236,7.75,2,Miss
2,0,36.0,0,0,237,10.5,0,Mr
3,0,16.0,4,1,49,39.6875,0,Mr
3,0,25.0,1,0,238,7.775,0,Mr
1,1,58.0,0,1,239,153.4625,0,Mrs
1,1,35.0,0,0,240,135.6333,0,Miss
1,0,35.38095310337485,0,0,241,31.0,0,Mr
3,0,25.0,0,0,163,0.0,0,Mr
2,1,41.0,0,1,242,19.5,0,Mrs
1,0,37.0,0,1,243,29.7,1,Mr
3,1,23.493128651101237,0,0,244,7.75,2,Miss
1,1,63.0,1,0,245,77.9583,0,Miss
3,1,45.0,0,0,246,7.75,0,Miss
2,0,31.20304770216906,0,0,247,0.0,0,Mr
3,0,7.0,4,1,16,29.125,2,Master
3,1,35.0,1,1,248,20.25,0,Mrs
3,0,65.0,0,0,249,7.75,2,Mr
3,0,28.0,0,0,250,7.8542,0,Mr
3,0,16.0,0,0,251,9.5,0,Mr
3,0,19.0,0,0,252,8.05,0,Mr
1,0,35.38095310337485,0,0,253,26.0,0,Mr
3,0,33.0,0,0,254,8.6625,1,Mr
3,0,30.0,0,0,255,9.5,0,Mr
3,0,22.0,0,0,256,7.8958,0,Mr
2,0,42.0,0,0,257,13.0,0,Mr
3,1,22.0,0,0,258,7.75,2,Miss
1,1,26.0,0,0,259,78.85,0,Miss
1,1,19.0,1,0,260,91.0792,1,Mrs
2,0,36.0,0,0,261,12.875,1,Mr
3,1,24.0,0,0,262,8.85,0,Miss
3,0,24.0,0,0,263,7.8958,0,Mr
1,0,35.38095310337485,0,0,264,27.7208,1,Mr
3,0,23.5,0,0,265,7.2292,1,Mr
1,1,2.0,1,2,266,151.55,0,Miss
1,0,35.38095310337485,0,0,267,30.5,0,Mr
1,1,50.0,0,1,114,247.5208,1,Mrs
3,1,23.493128651101237,0,0,268,7.75,2,Miss
3,0,28.834542532422255,2,0,269,23.25,2,Mr
3,0,19.0,0,0,163,0.0,0,Mr
2,1,25.86163382084804,0,0,270,12.35,2,Miss
3,0,28.834542532422255,0,0,271,8.05,0,Mr
1,0,0.92,1,2,266,151.55,0,Master
1,1,30.039539222053836,0,0,272,110.8833,1,Miss
1,1,17.0,1,0,273,108.9,1,Mrs
2,0,30.0,1,0,274,24.0,1,Mr
1,1,30.0,0,0,275,56.9292,1,Miss
1,1,24.0,0,0,276,83.1583,1,Miss
1,1,18.0,2,2,277,262.375,1,Miss
2,1,26.0,1,1,278,26.0,0,Mrs
3,0,28.0,0,0,279,7.8958,0,Mr
2,0,43.0,1,1,280,26.25,0,Mr
3,1,26.0,0,0,281,7.8542,0,Miss
2,1,24.0,1,0,96,26.0,0,Mrs
2,0,54.0,0,0,282,14.0,0,Noble
1,1,31.0,0,2,283,164.8667,0,Miss
1,1,40.0,1,1,284,134.5,1,Mrs
3,0,22.0,0,0,285,7.25,0,Mr
3,0,27.0,0,0,286,7.8958,0,Mr
2,1,30.0,0,0,287,12.35,2,Miss
2,1,22.0,1,1,76,29.0,0,Mrs
3,0,28.834542532422255,8,2,148,69.55,0,Mr
1,1,36.0,0,0,240,135.6333,1,Miss
3,0,61.0,0,0,288,6.2375,0,Mr
2,1,36.0,0,0,289,13.0,0,Mrs
3,1,31.0,1,1,153,20.525,0,Mrs
1,1,16.0,0,1,290,57.9792,1,Miss
3,1,23.493128651101237,2,0,269,23.25,2,Miss
1,0,45.5,0,0,291,28.5,0,Mr
1,0,38.0,0,1,239,153.4625,0,Mr
3,0,16.0,2,0,37,18.0,0,Mr
1,1,37.011215842951565,1,0,292,133.65,0,Mrs
3,0,28.834542532422255,0,0,293,7.8958,0,Mr
1,0,29.0,1,0,140,66.6,0,Mr
1,1,41.0,0,0,284,134.5,1,Miss
3,0,45.0,0,0,294,8.05,0,Mr
1,0,45.0,0,0,295,35.5,0,Mr
2,0,2.0,1,1,137,26.0,0,Master
1,1,24.0,3,2,26,263.0,0,Miss
2,0,28.0,0,0,296,13.0,0,Mr
2,0,25.0,0,0,297,13.0,0,Mr
2,0,36.0,0,0,298,13.0,0,Mr
2,1,24.0,0,0,299,13.0,0,Miss
2,1,40.0,0,0,300,13.0,0,Miss
3,1,30.46480527199897,1,0,301,16.1,0,Mrs
3,0,3.0,1,1,302,15.9,0,Master
3,0,42.0,0,0,303,8.6625,0,Mr
3,0,23.0,0,0,304,9.225,0,Mr
1,0,35.38095310337485,0,0,305,35.0,0,Mr
3,0,15.0,1,1,306,7.2292,1,Mr
3,0,25.0,1,0,48,17.8,0,Mr
3,0,28.834542532422255,0,0,307,7.225,1,Mr
3,0,28.0,0,0,308,9.5,0,Mr
1,1,22.0,0,1,154,55.0,0,Miss
2,1,38.0,0,0,309,13.0,0,Miss
3,1,23.493128651101237,0,0,310,7.8792,2,Miss
3,1,23.493128651101237,0,0,311,7.8792,2,Miss
3,0,40.0,1,4,62,27.9,0,Mr
2,0,29.0,1,0,312,27.7208,1,Mr
3,1,45.0,0,1,313,14.4542,1,Mrs
3,0,35.0,0,0,314,7.05,0,Mr
3,0,28.834542532422255,1,0,168,15.5,2,Mr
3,0,30.0,0,0,315,7.25,0,Mr
1,1,60.0,1,0,316,75.25,1,Mrs
3,1,30.46480527199897,0,0,317,7.2292,1,Mrs
3,1,23.493128651101237,0,0,318,7.75,2,Miss
1,1,24.0,0,0,319,69.3,1,Mrs
1,0,25.0,1,0,320,55.4417,1,Mr
3,0,18.0,1,0,321,6.4958,0,Mr
3,0,19.0,0,0,322,8.05,0,Mr
1,0,22.0,0,0,240,135.6333,1,Mr
3,1,3.0,3,1,7,21.075,0,Miss
1,1,37.011215842951565,1,0,33,82.1708,1,Mrs
3,1,22.0,0,0,323,7.25,0,Miss
1,0,27.0,0,2,324,211.5,1,Mr
3,0,20.0,0,0,325,4.0125,1,Mr
3,0,19.0,0,0,326,7.775,0,Mr
1,1,42.0,0,0,327,227.525,1,Miss
3,1,1.0,0,2,328,15.7417,1,Miss
3,0,32.0,0,0,329,7.925,0,Mr
1,1,35.0,1,0,34,52.0,0,Mrs
3,0,28.834542532422255,0,0,330,7.8958,0,Mr
2,0,18.0,0,0,70,73.5,0,Mr
3,0,1.0,5,2,58,46.9,0,Master
2,1,36.0,0,0,331,13.0,0,Miss
3,0,28.834542532422255,0,0,332,7.7292,2,Mr
2,1,17.0,0,0,333,12.0,1,Miss
1,0,36.0,1,2,334,120.0,0,Mr
3,0,21.0,0,0,335,7.7958,0,Mr
3,0,28.0,2,0,336,7.925,0,Mr
1,1,23.0,1,0,193,113.275,1,Miss
3,1,24.0,0,2,10,16.7,0,Mrs
3,0,22.0,0,0,337,7.7958,0,Mr
3,1,31.0,0,0,338,7.8542,0,Miss
2,0,46.0,0,0,339,26.0,0,Mr
2,0,23.0,0,0,340,10.5,0,Noble
2,1,28.0,0,0,341,12.65,0,Mrs
3,0,39.0,0,0,342,7.925,0,Mr
3,0,26.0,0,0,343,8.05,0,Mr
3,1,21.0,1,0,344,9.825,0,Miss
3,0,28.0,1,0,132,15.85,0,Mr
3,1,20.0,0,0,345,8.6625,0,Miss
2,0,34.0,1,0,346,21.0,0,Mr
3,0,51.0,0,0,347,7.75,0,Mr
2,0,3.0,1,1,348,18.75,0,Master
3,0,21.0,0,0,349,7.775,0,Mr
3,1,23.493128651101237,3,1,160,25.4667,0,Miss
3,0,28.834542532422255,0,0,350,7.8958,0,Mr
3,0,28.834542532422255,0,0,351,6.8583,2,Mr
1,1,33.0,1,0,219,90.0,2,Miss
2,0,31.20304770216906,0,0,247,0.0,0,Mr
3,0,44.0,0,0,352,7.925,0,Mr
3,1,30.46480527199897,0,0,353,8.05,0,Mrs
2,1,34.0,1,1,354,32.5,0,Mrs
2,1,18.0,0,2,355,13.0,0,Miss
2,0,30.0,0,0,356,13.0,0,Mr
3,1,10.0,0,2,357,24.15,0,Miss
3,0,28.834542532422255,0,0,358,7.8958,1,Mr
3,0,21.0,0,0,359,7.7333,2,Mr
3,0,29.0,0,0,360,7.875,0,Mr
3,1,28.0,1,1,361,14.4,0,Mrs
3,0,18.0,1,1,227,20.2125,0,Mr
3,0,28.834542532422255,0,0,362,7.25,0,Mr
2,1,28.0,1,0,363,26.0,0,Mrs
2,1,19.0,0,0,364,26.0,0,Miss
3,0,28.834542532422255,0,0,365,7.75,2,Mr
3,0,32.0,0,0,366,8.05,0,Mr
1,0,28.0,0,0,367,26.55,0,Mr
3,1,30.46480527199897,1,0,368,16.1,0,Mrs
2,1,42.0,1,0,369,26.0,0,Mrs
3,0,17.0,0,0,370,7.125,0,Mr
1,0,50.0,1,0,371,55.9,0,Mr
1,1,14.0,1,2,334,120.0,0,Miss
3,1,21.0,2,2,84,34.375,0,Miss
2,1,24.0,2,3,348,18.75,0,Mrs
1,0,64.0,1,4,26,263.0,0,Mr
2,0,31.0,0,0,372,10.5,0,Mr
2,1,45.0,1,1,280,26.25,0,Mrs
3,0,20.0,0,0,373,9.5,0,Mr
3,0,25.0,1,0,374,7.775,0,Mr
2,1,28.0,0,0,375,13.0,0,Miss
3,0,28.834542532422255,0,0,376,8.1125,0,Mr
1,0,4.0,0,2,377,81.8583,0,Master
